Name,Num,Mobile
# Note: The source field of the tweet, must be encoded to ascii from unicode, with errors ignored (str.encode('ascii', 'ignore')) to get a match
"<a href=""http://www.destroytwitter.com"" rel=""nofollow"">DestroyTwitter</a>",68,FALSE
"<a href=""http://www.deliciousmorsel.com/app/twee"" rel=""nofollow"">Twee2</a>",7,TRUE
"<a href=""http://www.crouto.com/teewee"" rel=""nofollow"">Teewee</a>",30,TRUE
"<a href=""http://www.constantcontact.com"" rel=""nofollow"">Constant Contact</a>",21,FALSE
"<a href=""http://www.chrisfinke.com/addons/twitterbar/"" rel=""nofollow"">TwitterBar</a>",13,FALSE
"<a href=""http://www.brizzly.com"" rel=""nofollow"">Brizzly</a>",25,FALSE
"<a href=""http://www.bravenewcode.com/products/wordtwit"" rel=""nofollow"">WordTwit Plugin</a>",175,FALSE
"<a href=""http://www.bannerweb.ch/unsere-leistungen/wordpress-dev/simple-twitter-status-updates/"" rel=""nofollow"">Simple Twi. Status Updates</a>",23,FALSE
"<a href=""http://www.askbiography.com"" rel=""nofollow"">AskBiography - News</a>",34,FALSE
"<a href=""http://www.ajaymatharu.com/"" rel=""nofollow"">Tweet Old Post</a>",115,FALSE
"<a href=""http://www.3taps.com/"" rel=""nofollow"">3taps Notifier</a>",55,FALSE
"<a href=""http://who.unfollowed.me"" rel=""nofollow"">Who Unfollowed Me</a>",28,FALSE
"<a href=""http://w.sns.ly"" rel=""nofollow"">SNS Analytics</a>",134,FALSE
"<a href=""http://twtr.jp"" rel=""nofollow"">Keitai Web</a>",40,FALSE
"<a href=""http://twtkr.com"" rel=""nofollow"">twtkr</a>",61,FALSE
"<a href=""http://twitzip.com"" rel=""nofollow"">TwitZip</a>",49,FALSE
"<a href=""http://twittme.mobi"" rel=""nofollow"">twittme.mobi</a>",20,TRUE
"<a href=""http://twitterrific.com"" rel=""nofollow"">Twitterrific</a>",1296,MIXED
"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>",12048,FALSE
"<a href=""http://twittercounter.com"" rel=""nofollow"">The Visitor Widget</a>",39,FALSE
"<a href=""http://twitter.com/USACities/cities"" rel=""nofollow"">Cities</a>",114,FALSE
"<a href=""http://twitter.com/tweetbutton"" rel=""nofollow"">Tweet Button</a>",1529,FALSE
"<a href=""http://twitter.com/devices"" rel=""nofollow"">txt</a>",3294,TRUE
"<a href=""http://twitter.com/"" rel=""nofollow"">Twitter for iPhone</a>",17165,TRUE
"<a href=""http://twitter.com"" rel=""nofollow"">Tweetie for Mac</a>",1221,FALSE
"<a href=""http://twittbot.net/"" rel=""nofollow"">twittbot.net</a>",63,FALSE
"<a href=""http://twitpic.com"" rel=""nofollow"">Twitpic</a>",743,MIXED
"<a href=""http://twitcam.com"" rel=""nofollow"">Twitcam.com</a>",690,FALSE
"<a href=""http://twidroyd.com"" rel=""nofollow"">twidroyd</a>",2593,TRUE
"<a href=""http://twidroid.com"" rel=""nofollow"">twidroid</a>",245,TRUE
"<a href=""http://twicca.r246.jp/"" rel=""nofollow"">twicca</a>",1,TRUE
"<a href=""http://twibbon.com"" rel=""nofollow"">Twibbon</a>",268,FALSE
"<a href=""http://tweettogo.com"" rel=""nofollow"">TweetToGo</a>",13,TRUE
"<a href=""http://tweetsride.com/"" rel=""nofollow"">TweetsRide</a>",20,TRUE
"<a href=""http://tweetmyjobs.com"" rel=""nofollow"">SafeTweet by TweetMyJOBS</a>",330,FALSE
"<a href=""http://tweetmeme.com"" rel=""nofollow"">TweetMeme</a>",333,FALSE
"<a href=""http://tweetitow.com"" rel=""nofollow"">@tweetitow</a>",27,TRUE
"<a href=""http://tweethopper.com"" rel=""nofollow"">Tweethopper</a>",38,FALSE
"<a href=""http://tweetcatch.com"" rel=""nofollow"">TweetCatch.com</a>",56,TRUE
"<a href=""http://tweet.sg/"" rel=""nofollow"">TweetSG</a>",28,TRUE
"<a href=""http://tweed.pivotallabs.com"" rel=""nofollow"">Tweed webOS</a>",18,TRUE
"<a href=""http://touchtwit.net"" rel=""nofollow"">TouchTwit</a>",13,TRUE
"<a href=""http://tinyurl.com/tweetcaster"" rel=""nofollow"">TweetCaster</a>",17,TRUE
"<a href=""http://tinychat.com"" rel=""nofollow"">Tinychat Connector</a>",410,FALSE
"<a href=""http://su.pr/"" rel=""nofollow"">Su.pr</a>",26,FALSE
"<a href=""http://stone.com/Twittelator"" rel=""nofollow"">Twittelator</a>",118,TRUE
"<a href=""http://status.net"" rel=""nofollow"">status.net</a>",42,FALSE
"<a href=""http://splitweet.com"" rel=""nofollow"">Splitweet</a>",18,FALSE
"<a href=""http://sites.google.com/site/yorufukurou/"" rel=""nofollow"">YoruFukurou</a>",39,FALSE
"<a href=""http://sgBEAT.com/"" rel=""nofollow"">sgBEAT</a>",48,TRUE
"<a href=""http://seesmic.com/seesmic_mobile/wp7/"" rel=""nofollow"">Seesmic for Windows Phone 7</a>",2,TRUE
"<a href=""http://seesmic.com/seesmic_mobile/iphone/"" rel=""nofollow"">Seesmic for iPhone</a>",6,TRUE
"<a href=""http://seesmic.com/seesmic_mobile/blackberry/"" rel=""nofollow"">Seesmic for BlackBerry</a>",47,TRUE
"<a href=""http://seesmic.com/seesmic_mobile/android/"" rel=""nofollow"">Seesmic for Android</a>",180,TRUE
"<a href=""http://seesmic.com/seesmic_desktop/sd2"" rel=""nofollow"">Seesmic Desktop</a>",455,FALSE
"<a href=""http://seesmic.com/app"" rel=""nofollow"">Seesmic Web</a>",193,FALSE
"<a href=""http://schmap.it"" rel=""nofollow"">schmap.it</a>",22,FALSE
"<a href=""http://rockmelt.com"" rel=""nofollow"">RockMelt</a>",46,FALSE
"<a href=""http://raptr.com/"" rel=""nofollow"">Raptr</a>",20,FALSE
"<a href=""http://rakubots.kissa.jp/"" rel=""nofollow"">rakubo2</a>",21,FALSE
"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>",17,FALSE
"<a href=""http://posterous.com"" rel=""nofollow"">Posterous</a>",50,MIXED
"<a href=""http://plurk.com"" rel=""nofollow"">Plurk</a>",39,FALSE
"<a href=""http://plixi.com"" rel=""nofollow"">Plixi</a>",20,MIXED
"<a href=""http://plixi.com"" rel=""nofollow"">Plixi</a>",52,MIXED
"<a href=""http://plixi.com"" rel=""nofollow"">Plixi for iPhone</a>",6,TRUE
"<a href=""http://playmobsterworld.com"" rel=""nofollow"">Mobster World</a>",57,FALSE
"<a href=""http://ping.fm/"" rel=""nofollow"">Ping.fm</a>",545,FALSE
